2020-04-22 13:09:32,428 - INFO - ####################################
2020-04-22 13:09:32,428 - INFO - ############Loading Model###########
2020-04-22 13:09:32,428 - INFO - ####################################
2020-04-22 13:10:51,383 - INFO - ####################################
2020-04-22 13:10:51,383 - INFO - ############Loading Model###########
2020-04-22 13:10:51,383 - INFO - ####################################
2020-04-22 13:11:04,084 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00148, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,084 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00149, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,085 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00150, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,085 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00151, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,086 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00152, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,086 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00153, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,087 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00154, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,087 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00155, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,088 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00156, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,088 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00157, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,089 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00158, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,089 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00159, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,090 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00160, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,090 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00161, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,091 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00162, setp 000, Reward 0.0  , 1,
